_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,utterance1,utterance2,utterance3,edge,question_should_contain,template,utterance1_gold,utterance2_gold,utterance3_gold
2802539407,7/30/2020 18:49,5689975891,7/30/2020 18:47,FALSE,feca,1,45438892,USA,GA,Atlanta,107.150.23.253,yes sir Where can I buy a @partType for my @appliance?,for Where can I buy a @partType for my @appliance?,"now, Where can I buy a @partType for my @appliance?",buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:49,5689975938,7/30/2020 18:47,FALSE,feca,1,45769617,USA,TX,Dallas,198.96.95.150,want to bye a @partType and @appliance,looking for a @partType and @appliance,trying some @partType and @appliance,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:51,5689977578,7/30/2020 18:47,FALSE,feca,1,45601323,USA,FL,Miami,45.87.214.60,Where can I buy @partType for my @appliance?,Where is it possible to get @partType to get my @appliance working,Can my @partType be used to view the @appliance?,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:51,5689977672,7/30/2020 18:49,FALSE,feca,1,46018693,USA,NJ,Clifton,104.236.195.72,Where how I buy a @partType for my @appliance...! @partType @appliance,Where how I buy a @partType for my @appliance..,Where how I buy a @partType for my @appliance.!,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:52,5689978735,7/30/2020 18:50,FALSE,feca,1,45760166,USA,GA,Atlanta,107.150.30.167,where can you get @partType for my @appliance,how to get @partType for my @appliance,how to buy @partType for my @appliance,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:52,5689978784,7/30/2020 18:49,FALSE,feca,1,45597835,USA,NY,New York,107.170.145.187,Could I buy an @partType for an @appliance?,can I put a @partType on an @appliance?,I am looking for a @partType for an @appliance?,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:52,5689979018,7/30/2020 18:49,FALSE,feca,1,45850453,USA,NJ,Clifton,104.236.55.136,I can buy a party in the city center @partType @appliance,in the rent of my house they sell @partType @appliance,I will buy it when I decide @partType @appliance,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:53,5689979681,7/30/2020 18:47,FALSE,feca,1,45601753,USA,TX,Dallas,172.241.112.1,Where do I purchase a @partType for my @appliance?,Where can I purchase a @partType from my @appliance?,Where can I buy my @partType for the @appliance?,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:53,5689979738,7/30/2020 18:47,FALSE,feca,1,45597295,USA,VA,Reston,147.135.77.241,What is the closest store to buy @partType for the @appliance,is the @partType part of the @appliance available at a walmart?,in order of what price is the @partType of the @appliance,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:54,5689980562,7/30/2020 18:49,FALSE,feca,1,45677574,USA,PA,Eagleville,67.227.14.238,Is there any @partType for my @appliance?,Help me to find a @partType for my @appliance,"Please, show me a @partType for my @appliance",buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:55,5689981640,7/30/2020 18:49,FALSE,feca,1,45319667,USA,NJ,Clifton,104.131.66.8,I want to buy an @partType for my @appliance,I am interested in purchasing an @partType for my @appliance,where can i get this @partType for my @appliance,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:57,5689984550,7/30/2020 18:48,FALSE,feca,1,45464287,USA,NJ,Clifton,104.236.195.72,where do i buy a watch @partType for my @appliance?,where do I buy an oven @partType for my @appliance?,where do i buy a fridge @partType for my @appliance?,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 18:58,5689985027,7/30/2020 18:55,FALSE,feca,1,45796982,USA,NJ,Clifton,104.131.66.8,I have not managed to get @partType for an @appliance,could you help me buy a @partType for my @appliance,It would be great to be able to buy a @partType for an @appliance,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
2802539407,7/30/2020 19:01,5689988889,7/30/2020 18:48,FALSE,feca,1,45481708,USA,TX,Dallas,198.96.95.212,I want to buy @partType from @appliance,somewhere from @partType to my @appliance,How far is any store selling @partType from @appliance?,buy parts for appliance,@partType @appliance,Where can I buy a @partType for my @appliance?,,,
